id,rawData,merchantAccountCode,pspReference,merchantReference,timestamp,eventDate,eventCode,success,reason,paymentMethod,originalReference
"12","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-01-11T09:35:17+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM bill recurring', 'success': 'true', 'pspReference': '8535156597170503', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '55558', 'cvcResult': '3 Not checked', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '3', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5H99R8NPC'}, 'amount': {'value': 2000, 'currency': 'EUR'}, 'reason': '55558:1111:08/2018'}","ColinRood","8535156597170503","PM bill recurring","1516095348.09639","None","AUTHORISATION","True","55558:1111:08/2018","visa",""
"13","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-11-29T01:33:12+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM authorise card', 'success': 'true', 'pspReference': '8815119155924910', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '18498', 'cvcResult': '1 Matches', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '1', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5G6E0G8H8'}, 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': '18498:1111:08/2018'}","ColinRood","8815119155924910","PM authorise card","1511915593.72739","None","AUTHORISATION","True","18498:1111:08/2018","visa",""
"14","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-01-02T20:58:38+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost checkout', 'success': 'true', 'pspReference': '8835149231188590', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '67083', 'cvcResult': '1 Matches', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '1', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5H2EAGJ5V'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '67083:1111:08/2018'}","ColinRood","8835149231188590","Localhost checkout","1514923120.61678","None","AUTHORISATION","True","67083:1111:08/2018","visa",""
"15","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-03-07T18:38:25+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost Secured Fields', 'success': 'true', 'pspReference': '8515204443050869', 'additionalData': {'alias': 'H167852639363479', 'cardIssuingCountry': 'NL', 'cardBin': '411111', 'authCode': '31178', 'recurring.recurringDetailReference': '8415157668150973', 'cardPaymentMethod': 'visa', 'aliasType': 'Default', 'cardSummary': '1111', 'recurring.shopperReference': 'Shopper1', 'expiryDate': '08/2018'}, 'amount': {'value': 1500, 'currency': 'USD'}, 'reason': '31178:1111:08/2018'}","ColinRood","8515204443050869","Localhost Secured Fields","1520444306.0869","None","AUTHORISATION","True","31178:1111:08/2018","visa",""
"16","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-01-11T09:35:17+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM bill recurring', 'success': 'true', 'pspReference': '8535156597170503', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '55558', 'cvcResult': '3 Not checked', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '3', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5H99R8NPC'}, 'amount': {'value': 2000, 'currency': 'EUR'}, 'reason': '55558:1111:08/2018'}","ColinRood","8535156597170503","PM bill recurring","1515668148.11717","None","AUTHORISATION","True","55558:1111:08/2018","visa",""
"17","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-02-07T00:37:38+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost checkout', 'success': 'true', 'pspReference': '8835179602589381', 'additionalData': {'alias': 'H167852639363479', 'avsResult': '4 AVS not supported for this card type', 'fraudManualReview': 'false', 'fraudCheck-7-ShopperIpUsage': '0', 'fraudCheck-28-AnonymousProxyCheck': '0', 'cvcResult': '1 Matches', 'fraudCheck-6-ShopperIpRefCheck': '-1', 'fraudCheck-25-CVCAuthResultCheck': '0', 'cardSummary': '1111', 'fraudCheck-9-ShopperIpIssuingCountry': '10', 'acquirerCode': 'TestPmmAcquirer', 'refusalReasonRaw': 'AUTHORISED', 'fraudCheck-2-CardChunkUsage': '8', 'fraudCheck-5-IPCountryReferral': '0', 'fraudCheck-10-HolderNameContainsNumber': '0', 'fraudCheck-41-PaymentDetailNonFraudRefCheck': '50', 'acquirerReference': '7CAJIF79B4E', 'fraudCheck-11-HolderNameIsOneWord': '0', 'expiryDate': '08/2018', 'authCode': '19894', 'fraudCheck-3-PaymentDetailUsage': '5', 'aliasType': 'Default', 'fraudCheck-1-PaymentDetailRefCheck': '0', 'fraudResultType': 'GREEN', 'totalFraudScore': '72', 'fraudCheck-4-HolderNameUsage': '0', 'cvcResultRaw': '1', 'fraudCheck-13-IssuerRefCheck': '0', 'fraudCheck-15-IssuingCountryReferral': '0', 'avsResultRaw': '4', 'fraudCheck-27-PmOwnerRefCheck': '0'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '19894:1111:08/2018'}","ColinRood","8835179602589381","Localhost checkout","1517960258.91795","None","AUTHORISATION","True","19894:1111:08/2018","visa",""
"19","{'eventCode': 'REPORT_AVAILABLE', 'merchantAccountCode': 'ColinRood', 'eventDate': '2018-01-10T07:01:00+01:00', 'merchantReference': '', 'success': 'true', 'pspReference': 'received_payments_report_2018_01_09.csv', 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': 'https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv'}","ColinRood","received_payments_report_2018_01_09.csv","","1516275356.37792","None","REPORT_AVAILABLE","True","https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv","",""
"20","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-01-11T09:35:17+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM bill recurring', 'success': 'true', 'pspReference': '8535156597170503', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '55558', 'cvcResult': '3 Not checked', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '3', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5H99R8NPC'}, 'amount': {'value': 2000, 'currency': 'EUR'}, 'reason': '55558:1111:08/2018'}","ColinRood","8535156597170503","PM bill recurring","1516274798.62447","None","AUTHORISATION","True","55558:1111:08/2018","visa",""
"21","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-03-08T22:53:24+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost checkout', 'success': 'true', 'pspReference': '8835205460049737', 'additionalData': {'alias': 'H167852639363479', 'cardIssuingCountry': 'NL', 'cardBin': '411111', 'authCode': '62404', 'recurring.recurringDetailReference': '8415199339041751', 'cardPaymentMethod': 'visa', 'aliasType': 'Default', 'cardSummary': '1111', 'recurring.shopperReference': 'localhostCheckout1', 'expiryDate': '08/2018'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '62404:1111:08/2018'}","ColinRood","8835205460049737","Localhost checkout","1520546005.23763","None","AUTHORISATION","True","62404:1111:08/2018","visa",""
"22","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-12-15T19:22:20+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Create recurring', 'success': 'true', 'pspReference': '8525133621408839', 'additionalData': {'alias': 'H167852639363479', 'avsResult': '4 AVS not supported for this card type', 'fraudManualReview': 'false', 'cvcResult': '1 Matches', 'fraudCheck-25-CVCAuthResultCheck': '0', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'refusalReasonRaw': 'AUTHORISED', 'fraudCheck-2-CardChunkUsage': '0', 'fraudCheck-10-HolderNameContainsNumber': '0', 'fraudCheck-41-PaymentDetailNonFraudRefCheck': '50', 'acquirerReference': '7F5GJT3RL0M', 'avsResultRaw': '4', 'fraudCheck-11-HolderNameIsOneWord': '0', 'expiryDate': '08/2018', 'authCode': '39783', 'fraudCheck-3-PaymentDetailUsage': '0', 'aliasType': 'Default', 'fraudCheck-1-PaymentDetailRefCheck': '0', 'fraudResultType': 'GREEN', 'totalFraudScore': '50', 'fraudCheck-4-HolderNameUsage': '0', 'cvcResultRaw': '1', 'fraudCheck-13-IssuerRefCheck': '0', 'fraudCheck-15-IssuingCountryReferral': '0', 'fraudCheck-82-CustomFieldCheck': '0', 'fraudCheck-27-PmOwnerRefCheck': '0'}, 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': '39783:1111:08/2018'}","ColinRood","8525133621408839","Create recurring","1513362141.08453","None","AUTHORISATION","True","39783:1111:08/2018","visa",""
"23","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'amex', 'eventDate': '2017-11-17T18:08:48+01:00', 'merchantReference': 'PM travel data', 'success': 'false', 'pspReference': '8515109385289666', 'additionalData': {'alias': 'K489418218765970', 'aliasType': 'Default', 'expiryDate': '08/2018', 'cardSummary': '0002'}, 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': 'Refused'}","ColinRood","8515109385289666","PM travel data","1510938529.69178","None","AUTHORISATION","False","Refused","amex",""
"24","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-11-16T01:59:42+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM travel data', 'success': 'true', 'pspReference': '8815107939828762', 'additionalData': {'alias': 'H167852639363479', 'aliasType': 'Default', 'expiryDate': '08/2018', 'authCode': '53785', 'cardSummary': '1111'}, 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': '53785:1111:08/2018'}","ColinRood","8815107939828762","PM travel data","1510793983.70537","None","AUTHORISATION","True","53785:1111:08/2018","visa",""
"25","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-03-08T23:05:53+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Integrations overview - checkout', 'success': 'true', 'pspReference': '8835205467535316', 'additionalData': {'alias': 'H167852639363479', 'cardIssuingCountry': 'NL', 'cardBin': '411111', 'authCode': '23789', 'recurring.recurringDetailReference': '8415199339041751', 'cardPaymentMethod': 'visa', 'aliasType': 'Default', 'cardSummary': '1111', 'recurring.shopperReference': 'localhostCheckout1', 'expiryDate': '08/2018'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '23789:1111:08/2018'}","ColinRood","8835205467535316","Integrations overview - checkout","1520546754.20302","None","AUTHORISATION","True","23789:1111:08/2018","visa",""
"26","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'mc', 'eventDate': '2018-02-09T01:07:06+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost checkout', 'success': 'true', 'pspReference': '8835181348269708', 'additionalData': {'alias': 'M148918185403968', 'avsResult': '2 Neither postal code nor address match', 'fraudManualReview': 'false', 'fraudCheck-7-ShopperIpUsage': '0', 'fraudCheck-28-AnonymousProxyCheck': '0', 'cvcResult': '1 Matches', 'fraudCheck-6-ShopperIpRefCheck': '-1', 'fraudCheck-25-CVCAuthResultCheck': '0', 'fraudCheck-9-ShopperIpIssuingCountry': '10', 'acquirerCode': 'TestPmmAcquirer', 'refusalReasonRaw': 'AUTHORISED', 'fraudCheck-2-CardChunkUsage': '0', 'fraudCheck-5-IPCountryReferral': '0', 'recurring.shopperReference': 'localhostCheckout1', 'fraudCheck-10-HolderNameContainsNumber': '0', 'fraudCheck-41-PaymentDetailNonFraudRefCheck': '0', 'fraudResultType': 'GREEN', 'acquirerReference': '7CAJK3839KT', 'fraudCheck-11-HolderNameIsOneWord': '0', 'expiryDate': '08/2018', 'authCode': '17451', 'fraudCheck-3-PaymentDetailUsage': '0', 'paymentMethod': 'mc', 'aliasType': 'Default', 'fraudCheck-1-PaymentDetailRefCheck': '0', 'cardSummary': '0010', 'totalFraudScore': '9', 'fraudCheck-4-HolderNameUsage': '0', 'cvcResultRaw': '1', 'fraudCheck-13-IssuerRefCheck': '0', 'recurring.recurringDetailReference': '8415180305756309', 'fraudCheck-15-IssuingCountryReferral': '0', 'avsResultRaw': '2', 'fraudCheck-27-PmOwnerRefCheck': '0'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '17451:0010:08/2018'}","ColinRood","8835181348269708","Localhost checkout","1518134828.90728","None","AUTHORISATION","True","17451:0010:08/2018","mc",""
"27","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-10-30T21:23:04+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM Checkout setup', 'success': 'true', 'pspReference': '8515093949845538', 'additionalData': {'alias': 'H167852639363479', 'aliasType': 'Default', 'expiryDate': '08/2018', 'authCode': '12700', 'cardSummary': '1111'}, 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': '12700:1111:08/2018'}","ColinRood","8515093949845538","PM Checkout setup","1509394985.03923","None","AUTHORISATION","True","12700:1111:08/2018","visa",""
"28","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-11-21T22:38:12+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost CSE', 'success': 'true', 'pspReference': '8535113002920881', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '12943', 'cvcResult': '1 Matches', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '1', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5G0MKHC7V'}, 'amount': {'value': 1500, 'currency': 'USD'}, 'reason': '12943:1111:08/2018'}","ColinRood","8535113002920881","Localhost CSE","1511300293.43802","None","AUTHORISATION","True","12943:1111:08/2018","visa",""
"29","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-11-15T17:51:58+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'PM authorise card', 'success': 'true', 'pspReference': '8515107647183107', 'additionalData': {'alias': 'H167852639363479', 'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '90790', 'cvcResult': '1 Matches', 'aliasType': 'Default', 'cardSummary': '1111'}, 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': '90790:1111:08/2018'}","ColinRood","8515107647183107","PM authorise card","1510764719.86904","None","AUTHORISATION","True","90790:1111:08/2018","visa",""
"30","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-01-25T21:41:02+01:00', 'merchantReference': 'Localhost checkout', 'success': 'false', 'pspReference': '8815169128609817', 'additionalData': {'fraudCheck-11-HolderNameIsOneWord': '0', 'expiryDate': '08/2018', 'fraudManualReview': 'false', 'fraudCheck-7-ShopperIpUsage': '0', 'fraudCheck-28-AnonymousProxyCheck': '0', 'fraudCheck-3-PaymentDetailUsage': '0', 'fraudCheck-1-PaymentDetailRefCheck': '0', 'cardSummary': '1111', 'fraudCheck-6-ShopperIpRefCheck': '0', 'totalFraudScore': '160', 'fraudCheck-4-HolderNameUsage': '0', 'fraudResultType': 'RED', 'fraudCheck-2-CardChunkUsage': '0', 'fraudCheck-13-IssuerRefCheck': '100', 'fraudCheck-15-IssuingCountryReferral': '0', 'fraudCheck-10-HolderNameContainsNumber': '0', 'fraudCheck-5-IPCountryReferral': '0', 'fraudCheck-41-PaymentDetailNonFraudRefCheck': '50', 'fraudCheck-27-PmOwnerRefCheck': '0', 'fraudCheck-9-ShopperIpIssuingCountry': '10'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': 'FRAUD'}","ColinRood","8815169128609817","Localhost checkout","1516912872.22257","None","AUTHORISATION","False","FRAUD","visa",""
"31","{'eventCode': 'REPORT_AVAILABLE', 'merchantAccountCode': 'ColinRood', 'eventDate': '2018-01-10T07:01:00+01:00', 'merchantReference': '', 'success': 'true', 'pspReference': 'received_payments_report_2018_01_09.csv', 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': 'https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv'}","ColinRood","received_payments_report_2018_01_09.csv","","1515783705.2591","None","REPORT_AVAILABLE","True","https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv","",""
